Designator,Mid X,Mid Y,Rotation,Layer
BT1,86.458746,-96.591612,0.0,bottom
D1,55.453746,-95.091612,0.0,top
D2,113.953746,-94.591612,0.0,top
M1,86.958746,-123.586612,0.0,top
R1,86.648746,-79.591612,0.0,top
R2,86.648746,-83.591612,0.0,top
SW1,59.708746,-115.841612,0.0,top
SW2,111.708746,-114.591612,0.0,top
