Designator,Mid X,Mid Y,Rotation,Layer
BT1,124.0,-71.0,0.0,bottom
D1,95.23,-72.0,0.0,top
D2,152.495,-72.5,0.0,top
R1,123.69,-53.0,0.0,top
R2,124.0,-57.0,0.0,top
SW1,144.25,-55.25,0.0,top
